symbol,mcap_mm,is_auto,desc
AAPL,1605697,False,Apple Inc.
MSFT,1524042,False,Microsoft Corporation
AMZN,1500772,False,Amazon.com Inc.
FB,555273,False,Facebook Inc.
GOOG,508233,False,Alphabet Inc.
GOOGL,452538,False,Alphabet Inc.
JNJ,389973,False,Johnson & Johnson
WMT,371665,False,Walmart Inc.
V,329239,False,Visa Inc.
PG,311831,False,The Procter & Gamble Company
MA,304784,False,Mastercard Incorporated
JPM,299461,False,JPMorgan Chase & Co.
HD,285347,False,The Home Depot Inc.
UNH,285347,False,UnitedHealth Group Incorporated
TSLA,280691,True,Tesla Inc.
BRK_B,270520,False,Berkshire Hathaway Inc.
NVDA,250784,False,NVIDIA Corporation
VZ,235245,False,Verizon Communications Inc.
INTC,215159,False,Intel Corporation
DIS,212435,False,The Walt Disney Company
NFLX,211885,False,Netflix Inc.
BAC,211251,False,Bank of America Corporation
T,210686,False,AT&T Inc.
PFE,209195,False,Pfizer Inc.
KO,208285,False,The Coca-Cola Company
ADBE,206404,False,Adobe Inc.
PYPL,202613,False,PayPal Holdings Inc.
CMCSA,197446,False,Comcast Corporation
CSCO,195914,False,Cisco Systems Inc.
MRK,194608,False,Merck & Co. Inc.
PEP,188393,False,PepsiCo Inc.
XOM,183631,False,Exxon Mobil Corporation
ABT,175027,False,Abbott Laboratories
ABBV,171142,False,AbbVie Inc.
ORCL,170772,False,Oracle Corporation
CRM,169829,False,salesforce.com inc.
CVX,168270,False,Chevron Corporation
TMO,160500,False,Thermo Fisher Scientific Inc.
LLY,152592,False,Eli Lilly and Company
MCD,147759,False,McDonald's Corporation
AMGN,145872,False,Amgen Inc.
COST,143839,False,Costco Wholesale Corporation
ACN,140879,False,Accenture plc
DHR,138526,False,Danaher Corporation
NEE,137223,False,NextEra Energy Inc.
BMY,130896,False,Bristol-Myers Squibb Company
TMUS,129987,False,T-Mobile US Inc.
MDT,129234,False,Medtronic plc
LIN,128181,False,Linde plc
AVGO,122984,False,Broadcom Inc.
NKE,122532,False,NAN
PM,119665,False,Philip Morris International Inc.
