date,spy,tsla
20100726,111.559998,20.95
20100727,111.550003,20.55
20100728,110.830002,20.72
20100729,110.290001,20.35
20100730,110.269997,19.94
20100802,112.760002,20.92
20100803,112.220001,21.95
20100804,112.970001,21.26
20100805,112.849998,20.45
20100806,112.389999,19.59
20100809,112.989998,19.6
20100810,112.379997,19.03
20100811,109.300003,17.9
20100812,108.629997,17.6
20100813,108.309998,18.32
20100816,108.260002,18.78
20100817,109.589996,19.15
20100818,109.790001,18.77
20100819,107.879997,18.79
20100820,107.529999,19.1
20100823,107.120003,20.13
20100824,105.529999,19.2
20100825,105.940002,19.9
20100826,105.230003,19.75
20100827,106.860001,19.7
20100830,105.309998,19.87
20100831,105.309998,19.48
20100901,108.459999,20.45
20100902,109.470001,21.06
20100903,110.889999,21.05
20100907,109.639999,20.54
20100908,110.410004,20.9
20100909,110.919998,20.71
20100910,111.480003,20.17
20100913,112.720001,20.72
20100914,112.650002,21.12
20100915,113.080002,21.98
20100916,113.050003,20.94
20100917,112.489998,20.23
20100920,114.209999,21.055
20100921,113.980003,20.77
20100922,113.419998,19.87
20100923,112.5,19.56
20100924,114.82,20.1
20100927,114.269997,20.53
20100928,114.669998,21.4
20100929,114.470001,21.98
20100930,114.129997,20.405
20101001,114.610001,20.6
20101004,113.75,20.99
20101005,116.040001,21.12
20101006,116.029999,20.46
20101007,115.889999,20.43
20101008,116.540001,20.43
20101011,116.650002,20.24
20101012,117.010002,20.24
20101013,117.919998,20.54
20101014,117.459999,20.75
20101015,117.699997,20.54
20101018,118.279999,20.23
20101019,116.730003,20.05
20101020,117.870003,20.65
20101021,118.129997,20.75
20101022,118.349998,20.72
20101025,118.699997,20.85
20101026,118.720001,21.36
20101027,118.379997,21.0
20101028,118.400002,21.19
20101029,118.489998,21.84
20101101,118.529999,21.41
20101102,119.470001,21.25
20101103,119.949997,21.77
20101104,122.260002,24.9
20101105,122.720001,24.44
20101108,122.489998,24.98
20101109,121.610001,24.63
20101110,122.099998,29.36
20101111,121.639999,28.035
20101112,120.199997,29.84
20101115,120.029999,30.8
20101116,118.160004,29.67
20101117,118.220001,29.49
20101118,119.959999,29.89
20101119,120.290001,30.99
20101122,120.190002,33.4
20101123,118.449997,34.57
20101124,120.199997,35.47
20101126,118.800003,35.32
20101129,119.160004,34.33
20101130,118.489998,35.33
20101201,121.010002,34.35
20101202,122.559998,32.35
20101203,122.889999,31.49
20101206,122.760002,30.31
20101207,122.830002,31.56
20101208,123.279999,32.37
20101209,123.760002,32.05
20101210,124.480003,31.52
20101213,124.559998,30.55
20101214,124.669998,28.53
20101215,124.099998,29.6
20101216,124.82,30.81
20101217,124.300003,31.36
20101220,124.599998,31.7
20101221,125.389999,32.26
20101222,125.779999,32.63
20101223,125.599998,30.09
20101227,125.650002,25.549
20101228,125.830002,26.41
20101229,125.919998,27.73
20101230,125.720001,26.5
20101231,125.75,26.63
20110103,127.050003,26.62
20110104,126.980003,26.67
20110105,127.639999,26.83
20110106,127.389999,27.88
20110107,127.139999,28.24
20110110,126.980003,28.45
20110111,127.43,26.96
20110112,128.580002,26.96
20110113,128.369995,26.22
20110114,129.300003,25.75
20110118,129.520004,25.64
20110119,128.25,24.03
20110120,128.080002,22.62
20110121,128.369995,23.04
20110124,129.100006,24.49
20110125,129.169998,24.68
20110126,129.669998,24.75
20110127,129.990005,24.92
20110128,127.720001,24.01
20110131,128.679993,24.1
20110201,130.740005,23.91
20110202,130.490005,23.94
20110203,130.779999,23.63
20110204,131.149994,23.46
20110207,131.970001,23.07
20110208,132.570007,24.49
20110209,132.270004,23.21
20110210,132.320007,23.215
20110211,133.110001,23.25
20110214,133.429993,23.08
20110215,133.009995,22.84
20110216,133.850006,24.73
20110217,134.25,23.6
20110218,134.529999,23.18
20110222,131.830002,21.87
20110223,131.020004,21.83
20110224,130.929993,22.53
20110225,132.330002,23.61
20110228,133.149994,23.89
20110301,130.929993,23.94
20110302,131.210007,24.02
20110303,133.470001,24.36
20110304,132.470001,24.95
20110307,131.429993,24.94
20110308,132.580002,24.66
20110309,132.389999,24.72
20110310,129.940002,24.01
20110311,130.839996,24.07
20110314,130.050003,23.25
20110315,128.559998,22.95
20110316,126.18,22.82
20110317,127.849998,22.81
20110318,127.760002,22.96
20110321,129.740005,22.73
20110322,129.289993,22.19
20110323,129.660004,22.21
20110324,130.899994,22.33
20110325,131.300003,22.75
20110328,130.979996,23.25
20110329,131.860001,23.92
20110330,132.770004,23.71
20110331,132.589996,27.75
20110401,133.149994,26.66
20110404,133.259995,25.83
20110405,133.240005,26.7
20110406,133.660004,26.49
20110407,133.320007,27.24
20110408,132.860001,26.49
20110411,132.460007,25.27
20110412,131.470001,24.65
20110413,131.460007,24.93
20110414,131.559998,25.14
20110415,132.039993,25.58
20110418,130.559998,25.03
20110419,131.309998,25.16
20110420,133.100006,25.75
20110421,133.779999,26.74
20110425,133.639999,26.39
20110426,134.789993,26.93
20110427,135.669998,27.08
20110428,136.110001,27.66
20110429,136.429993,27.6
20110502,136.220001,27.45
20110503,135.729996,26.87
20110504,134.830002,26.69
20110505,133.610001,26.44
20110506,134.199997,27.12
20110509,134.720001,27.91
20110510,135.869995,28.33
20110511,134.440002,27.07
20110512,135.080002,27.67
20110513,134.039993,27.55
20110516,133.190002,26.6
20110517,133.169998,25.96
20110518,134.360001,26.35
20110519,134.679993,28.2
20110520,133.610001,27.97
20110523,132.059998,26.82
20110524,131.949997,26.72
20110525,132.389999,28.98
20110526,133.0,29.48
20110527,133.509995,29.55
