date,Est,EPS,deliveries
20101109,-0.43,-0.37,0.0
20110215,-0.5,-0.47,0.0
20110504,-0.51,-0.44,0.0
20110803,-0.51,-0.53,0.0
20111102,-0.59,-0.55,0.0
20120215,-0.63,-0.69,0.0
20120509,-0.69,-0.76,0.0
20120725,-0.92,-0.89,0.0
20121105,-0.9,-0.92,250.0
20130220,-0.53,-0.65,2400.0
20130508,0.04,0.12,4900.0
20130807,-0.17,0.2,5150.0
20131105,0.11,0.12,5500.0
20140219,0.21,0.33,6892.0
20140507,0.1,0.12,6457.0
20140731,0.04,0.11,7579.0
20141105,-0.01,0.02,7785.0
20150211,0.31,-0.13,9834.0
20150506,-0.5,-0.36,10045.0
20150805,-0.6,-0.48,11532.0
20151103,-0.49,-0.58,11603.0
20160210,0.1,-0.87,17400.0
20160504,-0.58,-1.45,14820.0
20160803,-0.51,-1.61,14370.0
20161026,-0.54,0.71,24500.0
20170222,-0.43,-0.69,22200.0
20170503,-0.81,-1.33,25000.0
20170802,-1.82,-1.33,22000.0
20171101,-2.2,-2.92,26150.0
20180207,-3.09,-3.04,29870.0
20180502,-3.58,-3.35,29980.0
20180801,-2.92,-3.06,40740.0
20181024,-0.19,2.9,83500.0
20190130,2.2,1.93,90700.0
20190424,-0.69,-2.9,63000.0
20190724,-0.36,-1.12,95200.0
20191023,-0.42,1.86,97000.0
20200129,1.72,2.06,112000.0
20200429,-0.25,1.14,88400.0
20200722,0.03,2.18,90650.0
