date,close_px
20100726,20.95
20100727,20.55
20100728,20.72
20100729,20.35
20100730,19.94
20100802,20.92
20100803,21.95
20100804,21.26
20100805,20.45
20100806,19.59
20100809,19.6
20100810,19.03
20100811,17.9
20100812,17.6
20100813,18.32
20100816,18.78
20100817,19.15
20100818,18.77
20100819,18.79
20100820,19.1
20100823,20.13
20100824,19.2
20100825,19.9
20100826,19.75
20100827,19.7
20100830,19.87
20100831,19.48
20100901,20.45
20100902,21.06
20100903,21.05
20100907,20.54
20100908,20.9
20100909,20.71
20100910,20.17
20100913,20.72
20100914,21.12
20100915,21.98
20100916,20.94
20100917,20.23
20100920,21.055
20100921,20.77
20100922,19.87
20100923,19.56
20100924,20.1
20100927,20.53
20100928,21.4
20100929,21.98
20100930,20.405
20101001,20.6
20101004,20.99
20101005,21.12
20101006,20.46
20101007,20.43
20101008,20.43
20101011,20.24
20101012,20.24
20101013,20.54
20101014,20.75
20101015,20.54
20101018,20.23
20101019,20.05
20101020,20.65
20101021,20.75
20101022,20.72
20101025,20.85
20101026,21.36
20101027,21.0
20101028,21.19
20101029,21.84
20101101,21.41
20101102,21.25
20101103,21.77
20101104,24.9
20101105,24.44
20101108,24.98
20101109,24.63
20101110,29.36
20101111,28.035
20101112,29.84
20101115,30.8
20101116,29.67
20101117,29.49
20101118,29.89
20101119,30.99
20101122,33.4
20101123,34.57
20101124,35.47
20101126,35.32
20101129,34.33
20101130,35.33
20101201,34.35
20101202,32.35
20101203,31.49
20101206,30.31
20101207,31.56
20101208,32.37
20101209,32.05
20101210,31.52
20101213,30.55
20101214,28.53
20101215,29.6
20101216,30.81
20101217,31.36
20101220,31.7
20101221,32.26
20101222,32.63
20101223,30.09
20101227,25.549
20101228,26.41
20101229,27.73
20101230,26.5
20101231,26.63
20110103,26.62
20110104,26.67
20110105,26.83
20110106,27.88
20110107,28.24
20110110,28.45
20110111,26.96
20110112,26.96
20110113,26.22
20110114,25.75
20110118,25.64
20110119,24.03
20110120,22.62
20110121,23.04
20110124,24.49
20110125,24.68
20110126,24.75
20110127,24.92
20110128,24.01
20110131,24.1
20110201,23.91
20110202,23.94
20110203,23.63
20110204,23.46
20110207,23.07
20110208,24.49
20110209,23.21
20110210,23.215
20110211,23.25
20110214,23.08
20110215,22.84
20110216,24.73
20110217,23.6
20110218,23.18
20110222,21.87
20110223,21.83
20110224,22.53
20110225,23.61
20110228,23.89
20110301,23.94
20110302,24.02
20110303,24.36
20110304,24.95
20110307,24.94
20110308,24.66
20110309,24.72
20110310,24.01
20110311,24.07
20110314,23.25
20110315,22.95
20110316,22.82
20110317,22.81
20110318,22.96
20110321,22.73
20110322,22.19
20110323,22.21
20110324,22.33
20110325,22.75
20110328,23.25
20110329,23.92
20110330,23.71
20110331,27.75
20110401,26.66
20110404,25.83
20110405,26.7
20110406,26.49
20110407,27.24
20110408,26.49
20110411,25.27
20110412,24.65
20110413,24.93
20110414,25.14
20110415,25.58
20110418,25.03
20110419,25.16
20110420,25.75
20110421,26.74
20110425,26.39
20110426,26.93
20110427,27.08
20110428,27.66
20110429,27.6
20110502,27.45
20110503,26.87
20110504,26.69
20110505,26.44
20110506,27.12
20110509,27.91
20110510,28.33
20110511,27.07
20110512,27.67
20110513,27.55
20110516,26.6
20110517,25.96
20110518,26.35
20110519,28.2
20110520,27.97
20110523,26.82
20110524,26.72
20110525,28.98
20110526,29.48
20110527,29.55
20110531,30.14
20110601,28.517
20110602,28.76
20110603,30.13
20110606,28.7
20110607,28.37
20110608,27.12
20110609,27.62
20110610,27.86
20110613,28.43
20110614,28.6
20110615,27.32
20110616,26.5
20110617,26.5
20110620,26.01
20110621,27.53
20110622,27.21
20110623,27.71
20110624,27.565
20110627,27.46
20110628,28.11
20110629,28.29
20110630,29.13
20110701,29.02
20110705,29.14
20110706,28.96
20110707,29.73
20110708,28.81
20110711,28.35
20110712,28.17
